MAP_Cell,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400
10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,,,,,,,,,,42.71,50.37,45.62,41.7,,,,,,,,,,,,,,,,,,
22.5,,,,,,,49.21,49.05,46.98,50.64,48.8,,,,,,,,,,,,,,,,,,,,
25.0,,,,,,47.48,50.54,54.74,52.57,58.15,55.21,57.8,,,,,,,,,,,,,,,,,,,
27.5,,,,,51.24,49.13,57.08,58.58,55.56,56.79,58.03,,59.01,,,,,,,,,,,,,,,,,,
30.0,,,,,47.54,49.99,59.91,60.02,57.55,58.1,60.68,61.56,59.52,60.85,,,,,,,,,,,,,,,,,
32.5,,,,,52.1,54.03,59.95,61.18,58.73,59.16,60.57,62.13,,,,,,,,,,,,,,,,,,,
35.0,,,,,55.61,56.86,60.2,61.51,59.31,59.34,60.4,64.8,64.74,63.02,,,,,,,,,,,,,,,,,
37.5,,,,,67.36,58.59,60.4,62.54,60.02,59.02,65.62,64.93,63.62,63.24,,,,,,,,,,,,,,,,,
40.0,,,,,60.05,58.94,61.38,63.19,59.82,59.57,63.09,69.53,66.6,62.47,,,,,,,,,,,,,,,,,
42.5,,,,,60.77,59.54,61.21,62.66,60.66,61.63,64.3,69.24,66.7,,74.81,75.04,,,,,,,,,,,,,,,
45.0,,,,,60.19,59.92,62.29,63.17,61.04,63.28,65.53,74.35,72.41,72.94,71.75,,,,,,,,,,,,,,,,
47.5,,,,55.89,60.89,59.72,62.51,60.76,63.8,63.95,67.56,74.32,74.36,72.56,,85.74,,,,,,,,,,,,,,,
50.0,,,,63.19,60.97,59.72,62.17,65.74,62.91,64.52,70.06,73.86,76.03,75.64,,82.31,,,,,,,,,,,,,,,
52.5,,,,62.98,61.12,60.22,62.2,66.09,63.51,63.37,67.75,81.12,78.32,,79.44,78.82,,,,,,,,,,,,,,,
55.0,,,,63.35,61.65,60.71,62.99,65.88,65.77,71.79,74.73,,78.17,79.14,79.32,,,,,,,,,,,,,,,,
57.5,,,,64.02,61.82,60.32,65.08,61.98,66.93,70.89,74.54,77.58,77.93,76.95,78.73,,,,,,,,,,,,,,,,
60.0,,,,64.11,61.55,60.05,65.51,,69.66,72.35,72.79,78.19,78.84,,,,,,,,,,,,,,,,,,
62.5,,,58.66,58.1,59.82,62.24,64.98,69.74,71.39,71.53,81.88,79.58,79.92,79.41,,,,,,,,,,,,,,,,,
65.0,,,58.22,58.93,59.06,62.87,68.56,70.21,71.99,72.36,78.77,80.19,80.44,78.54,,,,,,,,,,,,,,,,,
67.5,,,72.61,62.25,60.94,65.74,68.41,69.91,,77.77,79.91,80.89,81.46,,,,,,,,,,,,,,,,,,
70.0,,,69.4,62.85,62.82,65.03,71.26,,78.88,75.28,79.5,81.18,,,,,,,,,,,,,,,,,,,
72.5,,,76.93,62.72,60.58,,71.84,,72.92,,,,,,,,,,,,,,,,,,,,,,
75.0,,,66.91,65.84,65.1,,75.46,76.46,75.78,,,,,,,,,,,,,,,,,,,,,,
77.5,,,,,70.18,67.47,78.94,78.21,,,,,,,,,,,,,,,,,,,,,,,
80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
